id,category_id,name,description,specifications,images,is_active,created_at,updated_at
160e472f-21ea-4e5c-ba4c-ccb06743e9af,008dd4f3-ae7f-4978-b864-26e146fad66d,JLG 450AJ,JLG JLG 450AJ - Professional aerial work platform for construction and industrial applications,"{""modelId"": ""450AJ"", ""manufacturer"": ""JLG""}",{},t,2025-06-20 19:01:34.803148+00,2025-06-20 19:01:34.803148+00
1e0ad00e-ccf6-4054-a6d1-f3148002175c,0223f70b-4668-4759-b1b2-74b6ca4fb690,JLG 1200SJP,JLG JLG 1200SJP - Professional aerial work platform for construction and industrial applications,"{""modelId"": ""1200SJP"", ""manufacturer"": ""JLG""}",{},t,2025-06-20 19:01:34.803148+00,2025-06-20 19:01:34.803148+00
662bb99b-be56-401c-bdd2-d63d901dc0d1,3e969a1e-17de-48e8-9b99-94dec689ed5f,Genie Z-45 DC,Genie Genie Z-45 DC - Professional aerial work platform for construction and industrial applications,"{""modelId"": ""Z-45 DC"", ""manufacturer"": ""Genie""}",{},t,2025-06-20 19:01:34.803148+00,2025-06-20 19:01:34.803148+00
6ac35ed0-5b07-4544-af0a-b28c5eb82ade,62ae7531-296d-4dd4-a0d3-93ea8603378e,Genie GS-3246,Genie Genie GS-3246 - Professional aerial work platform for construction and industrial applications,"{""modelId"": ""GS-3246"", ""manufacturer"": ""Genie""}",{},t,2025-06-20 19:01:34.803148+00,2025-06-20 19:01:34.803148+00
82faf09a-9039-4d35-b72f-8d6f6149d458,62ae7531-296d-4dd4-a0d3-93ea8603378e,Genie GS-2632,Genie Genie GS-2632 - Professional aerial work platform for construction and industrial applications,"{""modelId"": ""GS-2632"", ""manufacturer"": ""Genie""}",{},t,2025-06-20 19:01:34.803148+00,2025-06-20 19:01:34.803148+00
8d3d20fa-fdfb-41c6-b60d-3c047d5b20b3,0223f70b-4668-4759-b1b2-74b6ca4fb690,JLG 600S,JLG JLG 600S - Professional aerial work platform for construction and industrial applications,"{""modelId"": ""600S"", ""manufacturer"": ""JLG""}",{},t,2025-06-20 19:01:34.803148+00,2025-06-20 19:01:34.803148+00
92d65732-538b-4b74-9c23-be92cbc1c03e,0223f70b-4668-4759-b1b2-74b6ca4fb690,JLG 860SJ,JLG JLG 860SJ - Professional aerial work platform for construction and industrial applications,"{""modelId"": ""860SJ"", ""manufacturer"": ""JLG""}",{},t,2025-06-20 19:01:34.803148+00,2025-06-20 19:01:34.803148+00
9848c29c-b665-483e-af29-6b3f41f65adb,0223f70b-4668-4759-b1b2-74b6ca4fb690,Genie SX-105 XC,Genie Genie SX-105 XC - Professional aerial work platform for construction and industrial applications,"{""modelId"": ""SX-105 XC"", ""manufacturer"": ""Genie""}",{},t,2025-06-20 19:01:34.803148+00,2025-06-20 19:01:34.803148+00
c2fc6115-9602-4244-a15b-ed4aa0ec5aa9,62ae7531-296d-4dd4-a0d3-93ea8603378e,Genie GS-1930,Genie Genie GS-1930 - Professional aerial work platform for construction and industrial applications,"{""modelId"": ""GS-1930"", ""manufacturer"": ""Genie""}",{},t,2025-06-20 19:01:34.803148+00,2025-06-20 19:01:34.803148+00
cf0b7e14-07d8-438e-9ea9-5662b2d596e7,3b373cfd-47b9-4b5f-9139-874259d758c6,JLG 260MRT,JLG JLG 260MRT - Professional aerial work platform for construction and industrial applications,"{""modelId"": ""260MRT"", ""manufacturer"": ""JLG""}",{},t,2025-06-20 19:01:34.803148+00,2025-06-20 19:01:34.803148+00
